番号	作者	和歌	現代語訳（意味）
1	天智天皇	秋の田の かりほの庵の 苫をあらみ 我が衣手は 露にぬれつつ	秋の仮小屋の屋根の編み目が粗いので、私の袖は露に濡れ続けていることだ。
2	持統天皇	春過ぎて 夏来にけらし 白妙の 衣干すてふ 天の香具山	春が過ぎて夏が来たようですね。真っ白な衣を干すという天の香具山に。
3	柿本人麻呂	足びきの 山鳥の尾の しだり尾の ながながし夜を ひとりかも寝む	山鳥の長く垂れ下がった尾のように、この長い長い夜を独り寂しく寝るのだろうか。
4	山辺赤人	田子の浦に うち出でて見れば 白妙の 富士の高嶺に 雪は降りつつ	田子の浦に出て見ると、富士の高嶺に真っ白な雪が降り積もっている。
5	猿丸大夫	奥山に 紅葉踏み分け 鳴く鹿の 声聞く時ぞ 秋は悲しき	人里離れた奥山で、紅葉を踏み分けて鳴く鹿の声を聞くとき、秋の悲しさが身に染みる。
6	中納言家持	かささぎの 渡せる橋に おく霜の 白きを見れば 夜ぞ更けにける	織姫と彦星のためにカササギが渡した橋（天の川）に置く霜のように、真っ白な星空を見て夜が更けたのを知る。
7	阿倍仲麻呂	天の原 ふりさけ見れば 春日なる 三笠の山に 出でし月かも	大空を仰ぎ見ると月が出ている。あの月は故郷・春日の三笠山に出た月と同じなのだなあ。
8	喜撰法師	わが庵は 都のたつみ しかぞ住む 世をうぢ山と 人はいふなり	私の庵は都の東南にあり、静かに暮らしている。世の中を嫌って住む「宇治（憂じ）山」だと人は言っているようだが。
9	小野小町	花の色は 移りにけりな いたづらに わが身世にふる ながめせしまに	花の色は褪せてしまった。長雨を眺め、物思いにふけっている間に、私の美しさも衰えて。
10	蝉丸	これやこの 行くも帰るも 別れては 知るも知らぬも 逢坂の関	これが、行く人も帰る人も、知る人も知らない人も、別れてはまた出会うという逢坂の関なのだ。
11	参議篁	わたの原 八十島かけて 漕ぎ出でぬと 人には告げよ あまの釣舟	広い海へ、多くの島々を目指して漕ぎ出したと、都の人に伝えておくれ、漁師の舟よ。
12	僧正遍昭	天つ風 雲の通ひ路 吹きとぢよ 乙女の姿 しばしとどめむ	天を吹く風よ、雲の中の通り道を閉ざしておくれ。舞い踊る天女の姿をもう少しの間だけ引き留めておきたい。
13	陽成院	筑波嶺の みねより落つる 男女川 恋ぞつもりて 淵となりぬる	筑波山から落ちてくる男女川が、次第に水量を増して深い淵となるように、私の恋心も積もって深い淵となった。
14	河原左大臣	陸奥の しのぶもぢずり 誰ゆゑに 乱れそめにし われならなくに	陸奥の信夫摺りの乱れ模様のように、私の心は誰のせいで乱れ始めたのでしょう。（あなたのせいですよ。）
15	光孝天皇	君がため 春の野に出でて 若菜摘む 我が衣手に 雪は降りつつ	あなたに差し上げるために、早春の野に出て若菜を摘んでいると、私の袖に雪が降りかかってくる。
16	中納言行平	立ち別れ いなばの山の みねに生ふる まつとし聞かば 今帰り来む	お別れして因幡の国へ行きますが、稲葉山の松（待つ）のように、あなたが待っていると聞いたなら、すぐに帰りましょう。
17	在原業平朝臣	ちはやぶる 神代も聞かず 竜田川 からくれなゐに 水くくるとは	神代の昔でも聞いたことがない。竜田川が紅葉で真っ赤に括り染め（しぼり染め）されているなんて。
18	藤原敏行朝臣	住の江の 岸に寄る波 よるさへや 夢の通ひ路 人目よくらむ	住の江の岸に寄る波の「よる」ではないが、夜の夢の通い路でさえ、どうしてあなたは人目を避けて会ってくれないの。
19	伊勢	難波潟 みじかき芦の ふしのまも 逢はでこの世を 過ぐしてよとや	難波潟の短い芦の節の間のような、ほんの短い時間さえ会わずに、この一生を終えろと言うのですか。
20	元良親王	わびぬれば 今はた同じ 難波なる みをつくしても 逢はむとぞ思う	悩み果ててしまった今はもう同じこと。難波の「身をつくし（航路標識）」のように、この身を捨ててもあなたに会いたい。
21	素性法師	今来むと いひしばかりに 長月の 有明の月を 待ち出でつるかな	「すぐ行く」というあなたの言葉を信じて待つうちに、九月の有明の月が出てしまった。
22	文屋康秀	吹くからに 秋の草木の しをるれば むべ山風を あらしといふらむ	吹くとすぐに秋の草木がしおれるので、なるほど山風のことを「荒らし（嵐）」と言うのだな。
23	大江千里	月見れば ちぢにものこそ 悲しけれ わが身一つの 秋にはあらねど	月を見ると色々なことが物悲しく思われる。私一人だけの秋ではないと分かってはいるけれど。
24	菅家	このたびは 幣もとりあへず 手向山 紅葉の錦 神のまにまに	今回の旅は急で供え物も準備できませんでした。この手向山の美しい紅葉を、神の御心のままにお受け取りください。
25	三条右大臣	名にし負はば 逢坂山の さねかづら 人に知られで くるよしもがな	その名に持つ通り「さねかづら」を手繰り寄せるように、誰にも知られずあなたに会う方法があればいいのに。
26	貞信公	小倉山 峰の紅葉ば 心あらば 今一度の みゆき待たなむ	小倉山の紅葉よ、お前に心があるなら、天皇が再びお出ましになるまで散らずに待っていておくれ。
27	中納言兼輔	みかの原 わきて流るる いづみ川 いつ見きとてか 恋しかるらむ	みかの原を分けて流れる泉川のように、いつ会ったというので、これほどまでにあなたのことが恋しいのだろう。
28	源宗于朝臣	山里は 冬ぞ寂しさ まさりける 人目も草も かれぬと思へば	山里は冬こそ寂しさがひとしおだ。人の姿も見えなくなり（離れ）、草も枯れてしまうと思うから。
29	凡河内躬恒	心あてに 折らばや折らむ 初霜の 置きまどはせる 白菊の花	当てずっぽうに折るなら折ってみようか。初霜が降りて、霜か花か見分けがつかなくなった白菊を。
30	壬生忠岑	有明の つれなく見えし 別れより 暁ばかり 憂きものはなし	有明の月が冷淡に見えたあの日のお別れ以来、夜明けほど憂鬱で辛いものはない。
31	坂上是則	朝ぼらけ 有明の月と みるまでに 吉野の里に 降れる白雪	夜明け方、有明の月光かと思うほど、吉野の里に白々と雪が降り積もっている。
32	春道列樹	山川に 風のかけたる しがらみは 流れもあへぬ 紅葉なりけり	山の川に風がかけた「しがらみ（堰）」の正体は、流れきれずに止まっている紅葉だったのだな。
33	紀友則	ひさかたの 光のどけき 春の日に 静心なく 花の散るらむ	こんなに日の光がのどかな春の日に、どうして桜の花は落ち着きなく散ってしまうのだろう。
34	藤原興風	誰をかも 知る人にせむ 高砂の 松も昔の 友ならなくに	誰を友とすればいいのだろう。長寿の象徴である高砂の松でさえ、私の昔からの友ではないというのに。
35	紀貫之	人はいさ 心も知らず ふるさとは 花ぞ昔の 香ににほひける	人の心はさあどうだか分からないが、昔なじみのこの里の梅の花だけは、昔通りの良い香りがしている。
36	清原深養父	夏の夜は まだ宵ながら 明けぬるを 雲のいづこに 月宿るらむ	短い夏の夜はまだ宵だと思っているうちに明けてしまったが、月は雲のどこに隠れてしまったのか。
37	文屋朝康	白露に 風の吹きしく 秋の野は つらぬきとめぬ 玉ぞ散りける	白露に風が吹きつける秋の野は、まるで糸でつないでいない真珠が散らばっているようだ。
38	右近	忘れらるる 身をば思はず 誓ひてし 人の命の 惜しくもあるかな	忘れられる私の身はどうなってもいい。ただ「一生忘れない」と神に誓ったあなたの命が、神罰で失われないか惜しいのです。
39	参議等	浅茅生の 小野の篠原 しのぶれど あまりてなどか 人の恋しき	篠原の「しの」ではないが、密かに耐え忍んでいるけれど、抑えきれずどうしてこんなにあなたが恋しいのか。
